"AA","Int","Probibility","P_value","delabel"
"CK","I2_P","0","0.366849446280793",NA
"CK","I3_P","0","0.368910398226179",NA
"CK","I2_A","-0.000555025","0.306826434143391",NA
"CK","I3_A","-0.000555025","0.306826434143391",NA
"CK","I1","-0.00111005","0.33228610889228",NA
"CK","I4","-0.00111005","0.33228610889228",NA
"CK","I5","0.00585523141025641","0.363615306657901",NA
"CK","I6","-0.000555025","0.311593148602419",NA
"CL","I2_P","0","0.366849446280793",NA
"CL","I3_P","0","0.368910398226179",NA
"CL","I2_A","-0.00119945","0.306826434143391",NA
"CL","I3_A","0.0053364977124183","0.363910421891001",NA
"CL","I1","-0.0023989","0.33228610889228",NA
"CL","I4","-0.0023989","0.33228610889228",NA
"CL","I5","-0.00119945","0.305343622898658",NA
"CL","I6","0.00512966392405063","0.364679388734674",NA
"CM","I2_P","0","0.366849446280793",NA
"CM","I3_P","0","0.368910398226179",NA
"CM","I2_A","-0.00020115","0.306826434143391",NA
"CM","I3_A","-0.00020115","0.306826434143391",NA
"CM","I1","-0.0004023","0.33228610889228",NA
"CM","I4","-0.0004023","0.33228610889228",NA
"CM","I5","-0.00020115","0.305343622898658",NA
"CM","I6","-0.00020115","0.311593148602419",NA
"CN","I2_P","0","0.366849446280793",NA
"CN","I3_P","0","0.368910398226179",NA
"CN","I2_A","-0.000228715","0.306826434143391",NA
"CN","I3_A","-0.000228715","0.306826434143391",NA
"CN","I1","-0.00045743","0.33228610889228",NA
"CN","I4","-0.00045743","0.33228610889228",NA
"CN","I5","-0.000228715","0.305343622898658",NA
"CN","I6","-0.000228715","0.311593148602419",NA
"CP","I2_P","0","0.366849446280793",NA
"CP","I3_P","0","0.368910398226179",NA
"CP","I2_A","-2.7714e-05","0.306826434143391",NA
"CP","I3_A","-2.7714e-05","0.306826434143391",NA
"CP","I1","-5.5428e-05","0.33228610889228",NA
"CP","I4","-5.5428e-05","0.33228610889228",NA
"CP","I5","-2.7714e-05","0.305343622898658",NA
