"AA","Int","Probibility","P_value","delabel"
"CC","I5","0.00641025641025641","0.354413089750588",NA
"CC","I6","0","0.257629827044182",NA
"CD","I2_P","0","0.248328418900775",NA
"CD","I3_P","0","0.255638395988965",NA
"CD","I2_A","0","0.240925848035997",NA
"CD","I3_A","-0.00925925925925926","0.240925848035997",NA
"CD","I1","0","0.265828908731312",NA
"CD","I4","0","0.265828908731312",NA
"CD","I5","0","0.268081696093435",NA
"CD","I6","0","0.257629827044182",NA
"CE","I2_P","0","0.248328418900775",NA
"CE","I3_P","0","0.255638395988965",NA
"CE","I2_A","0","0.240925848035997",NA
"CE","I3_A","0","0.240925848035997",NA
"CE","I1","0","0.265828908731312",NA
"CE","I4","0","0.265828908731312",NA
"CE","I5","0","0.268081696093435",NA
"CE","I6","0","0.257629827044182",NA
"CF","I2_P","0","0.248328418900775",NA
"CF","I3_P","0","0.255638395988965",NA
"CF","I2_A","0","0.240925848035997",NA
"CF","I3_A","0","0.240925848035997",NA
"CF","I1","0","0.265828908731312",NA
"CF","I4","0","0.265828908731312",NA
"CF","I5","0","0.268081696093435",NA
"CF","I6","0","0.257629827044182",NA
"CG","I2_P","0","0.248328418900775",NA
"CG","I3_P","0","0.255638395988965",NA
"CG","I2_A","0","0.240925848035997",NA
"CG","I3_A","0","0.240925848035997",NA
"CG","I1","0","0.265828908731312",NA
"CG","I4","0","0.265828908731312",NA
"CG","I5","0","0.268081696093435",NA
"CG","I6","0","0.257629827044182",NA
"CH","I2_P","0","0.248328418900775",NA
"CH","I3_P","0","0.255638395988965",NA
"CH","I2_A","0","0.240925848035997",NA
"CH","I3_A","0","0.240925848035997",NA
"CH","I1","0","0.265828908731312",NA
"CH","I4","0","0.265828908731312",NA
"CH","I5","0","0.268081696093435",NA
"CH","I6","0","0.257629827044182",NA
"CI","I2_P","0","0.248328418900775",NA
"CI","I3_P","0","0.255638395988965",NA
"CI","I2_A","0","0.240925848035997",NA
"CI","I3_A","0.0065359477124183","0.344501446257088",NA
"CI","I1","0.00636942675159236","0.353687615854401",NA
"CI","I4","0.00636942675159236","0.353687615854401",NA
