,AA,Int,CCplus_APCCvsPCC_asAPCC,CCplus_expected_asAPCC,CCplus_APCCvsPCC_asPCC,CCplus_expected_asPCC
169,CC,I2_P,0,-0.001624032,-0.007751938,-0.00745
170,CC,I3_P,0.01164587,0.016483094,-0.021314006,0.009403933
171,CC,I2_A,0,-5.55E-05,0,-5.55E-05
172,CC,I3_A,0,-5.55E-05,0,-5.55E-05
173,CC,I1,0,-0.000877113,0,-5.55E-05
174,CC,I4,0,-0.000877113,0,-5.55E-05
175,CC,I5,0,-5.55E-05,0.006410256,0.006354754
176,CC,I6,0,-5.55E-05,0,-5.55E-05
177,CD,I2_P,0,-0.000535316,0,0
178,CD,I3_P,0,-0.000528453,0,0
179,CD,I2_A,0,-0.00033972,0,-0.00033972
180,CD,I3_A,0.007751938,0.007412218,-0.009259259,-0.00033972
181,CD,I1,0,-0.000603947,0,-0.00067944
182,CD,I4,0,-0.000603947,0,-0.00067944
183,CD,I5,0,-0.00033972,0,-0.00033972
184,CD,I6,0,-0.00033972,0,-0.00033972
185,CE,I2_P,0,-0.001631776,0,0
186,CE,I3_P,0,-0.001610856,0,0
187,CE,I2_A,0,-0.00103555,0,-0.00103555
188,CE,I3_A,0,-0.00103555,0,-0.00103555
189,CE,I1,0,-0.001840978,0,-0.0020711
190,CE,I4,0,-0.001840978,0,-0.0020711
191,CE,I5,0,-0.00103555,0,-0.00103555
192,CE,I6,0,-0.00103555,0,-0.00103555
193,CF,I2_P,0,-0.000339268,0,0
194,CF,I3_P,0,-0.000334919,0,0
195,CF,I2_A,0,-0.000215305,0,-0.000215305
196,CF,I3_A,0,-0.000215305,0,-0.000215305
197,CF,I1,0,-0.000382764,0,-0.00043061
198,CF,I4,0,-0.000382764,0,-0.00043061
199,CF,I5,0,-0.000215305,0,-0.000215305
200,CF,I6,0,-0.000215305,0,-0.000215305
201,CG,I2_P,0,-0.000185482,0,0
202,CG,I3_P,0,-0.000183104,0,0
203,CG,I2_A,0,-0.00011771,0,-0.00011771
204,CG,I3_A,0,-0.00011771,0,-0.00011771
205,CG,I1,-0.012903226,-0.000209262,0,-0.00023542
206,CG,I4,0,-0.000209262,0,-0.00023542
207,CG,I5,0,-0.00011771,0,-0.00011771
208,CG,I6,0,-0.00011771,0,-0.00011771
209,CH,I2_P,0,-0.000273528,0,0
210,CH,I3_P,0,-0.000270021,0,0
211,CH,I2_A,0,-0.000173585,0,-0.000173585
212,CH,I3_A,0.015503876,0.015330291,0,-0.000173585
213,CH,I1,0,-0.000308596,0,-0.00034717
214,CH,I4,0,-0.000308596,0,-0.00034717
215,CH,I5,0,-0.000173585,0,-0.000173585
216,CH,I6,0,-0.000173585,0,-0.000173585
217,CI,I2_P,0,-0.000775974,0,0
218,CI,I3_P,0,-0.000766026,0,0
219,CI,I2_A,0,-0.000492445,0,-0.000492445
220,CI,I3_A,0,-0.000492445,0.006535948,0.006043503
221,CI,I1,0,-0.000875458,0.006369427,0.005384537
222,CI,I4,0,-0.000875458,0.006369427,0.005384537
223,CI,I5,0,-0.000492445,0,-0.000492445
