,AA,Int,CCplus_APCC_asAPCC,CCplus_PCC_asAPCC,CCplus_APCC_asPCC,CCplus_PCC_asPCC
179,CD,I2_A,0,0,0,0
180,CD,I3_A,0.007751938,0,0.009259259,0
181,CD,I1,0,0,0,0
182,CD,I4,0,0,0,0
183,CD,I5,0,0,0,0
184,CD,I6,0,0,0,0
185,CE,I2_P,0,0,0,0
186,CE,I3_P,0,0,0,0
187,CE,I2_A,0,0,0,0
188,CE,I3_A,0,0,0,0
189,CE,I1,0,0,0,0
190,CE,I4,0,0,0,0
191,CE,I5,0,0,0,0
192,CE,I6,0,0,0,0
193,CF,I2_P,0,0,0,0
194,CF,I3_P,0,0,0,0
195,CF,I2_A,0,0,0,0
196,CF,I3_A,0,0,0,0
197,CF,I1,0,0,0,0
198,CF,I4,0,0,0,0
199,CF,I5,0,0,0,0
200,CF,I6,0,0,0,0
201,CG,I2_P,0,0,0,0
202,CG,I3_P,0,0,0,0
203,CG,I2_A,0,0,0,0
204,CG,I3_A,0,0,0,0
205,CG,I1,0,0.012903226,0,0
206,CG,I4,0,0,0,0
207,CG,I5,0,0,0,0
208,CG,I6,0,0,0,0
209,CH,I2_P,0,0,0,0
210,CH,I3_P,0,0,0,0
211,CH,I2_A,0,0,0,0
212,CH,I3_A,0.015503876,0,0,0
213,CH,I1,0,0,0,0
214,CH,I4,0,0,0,0
215,CH,I5,0,0,0,0
216,CH,I6,0,0,0,0
217,CI,I2_P,0,0,0,0
218,CI,I3_P,0,0,0,0
219,CI,I2_A,0,0,0,0
220,CI,I3_A,0,0,0,0.006535948
221,CI,I1,0,0,0,0.006369427
222,CI,I4,0,0,0,0.006369427
223,CI,I5,0,0,0,0
224,CI,I6,0,0,0,0
225,CK,I2_P,0,0,0,0
226,CK,I3_P,0,0,0,0
227,CK,I2_A,0,0,0,0
228,CK,I3_A,0,0,0,0
229,CK,I1,0,0,0,0
230,CK,I4,0,0.012578616,0,0
231,CK,I5,0,0,0,0.006410256
232,CK,I6,0,0,0,0
233,CL,I2_P,0.018691589,0,0,0
234,CL,I3_P,0.018181818,0.026143791,0,0
235,CL,I2_A,0,0,0,0
236,CL,I3_A,0,0.005649718,0,0.006535948
237,CL,I1,0,0,0,0
238,CL,I4,0,0,0,0
239,CL,I5,0,0.012738854,0,0
240,CL,I6,0.008403361,0.006369427,0,0.006329114
241,CM,I2_P,0,0,0,0
242,CM,I3_P,0,0,0,0
243,CM,I2_A,0.007751938,0,0,0
244,CM,I3_A,0,0,0,0
245,CM,I1,0,0,0,0
246,CM,I4,0,0,0,0
247,CM,I5,0,0,0,0
248,CM,I6,0,0,0,0
249,CN,I2_P,0,0,0,0
250,CN,I3_P,0,0,0,0
251,CN,I2_A,0,0,0,0
252,CN,I3_A,0,0.005649718,0,0
253,CN,I1,0,0,0,0
254,CN,I4,0,0,0,0
255,CN,I5,0,0,0,0
256,CN,I6,0,0,0,0
257,CP,I2_P,0,0,0,0
258,CP,I3_P,0,0,0,0
259,CP,I2_A,0,0,0,0
260,CP,I3_A,0,0,0,0
261,CP,I1,0,0,0,0
262,CP,I4,0,0,0,0
263,CP,I5,0,0,0,0
264,CP,I6,0,0,0,0
265,CQ,I2_P,0,0,0,0
266,CQ,I3_P,0,0,0,0
267,CQ,I2_A,0,0,0.009259259,0
268,CQ,I3_A,0,0,0,0
269,CQ,I1,0,0,0,0.006369427
270,CQ,I4,0,0,0,0.006369427
271,CQ,I5,0,0,0,0
272,CQ,I6,0,0,0,0
273,CR,I2_P,0,0,0,0
274,CR,I3_P,0,0,0,0
275,CR,I2_A,0,0,0,0
276,CR,I3_A,0,0,0,0
277,CR,I1,0,0.012903226,0,0
278,CR,I4,0,0,0,0
279,CR,I5,0,0,0,0
280,CR,I6,0,0,0.008547009,0
281,CS,I2_P,0,0,0,0
282,CS,I3_P,0,0,0,0
283,CS,I2_A,0,0,0,0
284,CS,I3_A,0.015503876,0,0.009259259,0
285,CS,I1,0,0,0,0
286,CS,I4,0,0,0,0
287,CS,I5,0,0,0,0
288,CS,I6,0,0,0,0
289,CT,I2_P,0,0,0,0
290,CT,I3_P,0,0,0,0
