"AA","Int","Probibility","P_value","delabel"
"CF","I3_P","-0.000334918888888889","0.312224741126222",NA
"CF","I2_A","-0.000215305","0.251655976682804",NA
"CF","I3_A","-0.000215305","0.251655976682804",NA
"CF","I1","-0.000382764444444444","0.302404435669018",NA
"CF","I4","-0.000382764444444444","0.302404435669018",NA
"CF","I5","-0.000215305","0.229530922911602",NA
"CF","I6","-0.000215305","0.232203527444892",NA
"CG","I2_P","-0.000185482424242424","0.318416203635429",NA
"CG","I3_P","-0.000183104444444444","0.312224741126222",NA
"CG","I2_A","-0.00011771","0.251655976682804",NA
"CG","I3_A","-0.00011771","0.251655976682804",NA
"CG","I1","-0.000209262222222222","0.302404435669018",NA
"CG","I4","-0.000209262222222222","0.302404435669018",NA
"CG","I5","-0.00011771","0.229530922911602",NA
"CG","I6","-0.00011771","0.232203527444892",NA
"CH","I2_P","-0.000273527878787879","0.318416203635429",NA
"CH","I3_P","-0.000270021111111111","0.312224741126222",NA
"CH","I2_A","-0.000173585","0.251655976682804",NA
"CH","I3_A","0.0153302909689922","0.24022103636181",NA
"CH","I1","-0.000308595555555556","0.302404435669018",NA
"CH","I4","-0.000308595555555556","0.302404435669018",NA
"CH","I5","-0.000173585","0.229530922911602",NA
"CH","I6","-0.000173585","0.232203527444892",NA
"CI","I2_P","-0.000775973939393939","0.318416203635429",NA
"CI","I3_P","-0.000766025555555556","0.312224741126222",NA
"CI","I2_A","-0.000492445","0.251655976682804",NA
"CI","I3_A","-0.000492445","0.251655976682804",NA
"CI","I1","-0.000875457777777778","0.302404435669018",NA
"CI","I4","-0.000875457777777778","0.302404435669018",NA
"CI","I5","-0.000492445","0.229530922911602",NA
"CI","I6","-0.000492445","0.232203527444892",NA
"CK","I2_P","-0.000874584848484849","0.318416203635429",NA
"CK","I3_P","-0.000863372222222222","0.312224741126222",NA
"CK","I2_A","-0.000555025","0.251655976682804",NA
"CK","I3_A","-0.000555025","0.251655976682804",NA
"CK","I1","-0.000986711111111111","0.302404435669018",NA
"CK","I4","-0.000986711111111111","0.302404435669018",NA
"CK","I5","-0.000555025","0.229530922911602",NA
"CK","I6","-0.000555025","0.232203527444892",NA
"CL","I2_P","0.0168015463608043","0.208780008187824",NA
"CL","I3_P","0.0163160070707071","0.211836501024422",NA
"CL","I2_A","-0.00119945","0.251655976682804",NA
"CL","I3_A","-0.00119945","0.251655976682804",NA
"CL","I1","-0.00213235555555556","0.302404435669018",NA
"CL","I4","-0.00213235555555556","0.302404435669018",NA
"CL","I5","-0.00119945","0.229530922911602",NA
"CL","I6","0.00720391134453781","0.341138515628913",NA
"CM","I2_P","-0.000316963636363636","0.318416203635429",NA
"CM","I3_P","-0.0003129","0.312224741126222",NA
"CM","I2_A","0.00755078798449612","0.349071193463236",NA
"CM","I3_A","-0.00020115","0.251655976682804",NA
"CM","I1","-0.0003576","0.302404435669018",NA
"CM","I4","-0.0003576","0.302404435669018",NA
"CM","I5","-0.00020115","0.229530922911602",NA
"CM","I6","-0.00020115","0.232203527444892",NA
