"AA","Int","Probibility","P_value","delabel"
"CD","I1","0","0.462906945763132",NA
"CD","I4","0","0.471992995287863",NA
"CD","I5","0","0.473498574198843",NA
"CD","I6","0","0.467485954874578",NA
"CE","I2_P","0","0.495770649975813",NA
"CE","I3_P","0","0.486113054319451",NA
"CE","I2_A","0","0.481485028299196",NA
"CE","I3_A","0","0.481485028299196",NA
"CE","I1","0","0.462906945763132",NA
"CE","I4","0","0.471992995287863",NA
"CE","I5","0","0.473498574198843",NA
"CE","I6","0","0.467485954874578",NA
"CF","I2_P","0","0.495770649975813",NA
"CF","I3_P","0","0.486113054319451",NA
"CF","I2_A","0","0.481485028299196",NA
"CF","I3_A","0","0.481485028299196",NA
"CF","I1","0","0.462906945763132",NA
"CF","I4","0","0.471992995287863",NA
"CF","I5","0","0.473498574198843",NA
"CF","I6","0","0.467485954874578",NA
"CG","I2_P","0","0.495770649975813",NA
"CG","I3_P","0","0.486113054319451",NA
"CG","I2_A","0","0.481485028299196",NA
"CG","I3_A","0","0.481485028299196",NA
"CG","I1","-0.0129032258064516","0.213210301859674",NA
"CG","I4","0","0.471992995287863",NA
"CG","I5","0","0.473498574198843",NA
"CG","I6","0","0.467485954874578",NA
"CH","I2_P","0","0.495770649975813",NA
"CH","I3_P","0","0.486113054319451",NA
"CH","I2_A","0","0.481485028299196",NA
"CH","I3_A","0.0155038759689922","0.128329687294627",NA
"CH","I1","0","0.462906945763132",NA
"CH","I4","0","0.471992995287863",NA
"CH","I5","0","0.473498574198843",NA
"CH","I6","0","0.467485954874578",NA
"CI","I2_P","0","0.495770649975813",NA
"CI","I3_P","0","0.486113054319451",NA
"CI","I2_A","0","0.481485028299196",NA
"CI","I3_A","0","0.481485028299196",NA
"CI","I1","0","0.462906945763132",NA
"CI","I4","0","0.471992995287863",NA
"CI","I5","0","0.473498574198843",NA
"CI","I6","0","0.467485954874578",NA
"CK","I2_P","0","0.495770649975813",NA
"CK","I3_P","0","0.486113054319451",NA
"CK","I2_A","0","0.481485028299196",NA
"CK","I3_A","0","0.481485028299196",NA
"CK","I1","0","0.462906945763132",NA
"CK","I4","-0.0125786163522013","0.221717943927167",NA
"CK","I5","0","0.473498574198843",NA
"CK","I6","0","0.467485954874578",NA
"CL","I2_P","0.0186915887850467","0.121689549688926",NA
"CL","I3_P","-0.00796197266785502","0.234406024139227",NA
"CL","I2_A","0","0.481485028299196",NA
"CL","I3_A","-0.00564971751412429","0.481485028299196",NA
"CL","I1","0","0.462906945763132",NA
"CL","I4","0","0.471992995287863",NA
"CL","I5","-0.0127388535031847","0.223125575718591",NA
"CL","I6","0.00203393459294546","0.356607875833799",NA
"CM","I2_P","0","0.495770649975813",NA
"CM","I3_P","0","0.486113054319451",NA
"CM","I2_A","0.00775193798449612","0.352906640060192",NA
"CM","I3_A","0","0.481485028299196",NA
"CM","I1","0","0.462906945763132",NA
"CM","I4","0","0.471992995287863",NA
"CM","I5","0","0.473498574198843",NA
"CM","I6","0","0.467485954874578",NA
"CN","I2_P","0","0.495770649975813",NA
"CN","I3_P","0","0.486113054319451",NA
"CN","I2_A","0","0.481485028299196",NA
"CN","I3_A","-0.00564971751412429","0.481485028299196",NA
"CN","I1","0","0.462906945763132",NA
"CN","I4","0","0.471992995287863",NA
"CN","I5","0","0.473498574198843",NA
"CN","I6","0","0.467485954874578",NA
"CP","I2_P","0","0.495770649975813",NA
"CP","I3_P","0","0.486113054319451",NA
"CP","I2_A","0","0.481485028299196",NA
"CP","I3_A","0","0.481485028299196",NA
"CP","I1","0","0.462906945763132",NA
"CP","I4","0","0.471992995287863",NA
"CP","I5","0","0.473498574198843",NA
"CP","I6","0","0.467485954874578",NA
"CQ","I2_P","0","0.495770649975813",NA
"CQ","I3_P","0","0.486113054319451",NA
"CQ","I2_A","0","0.481485028299196",NA
"CQ","I3_A","0","0.481485028299196",NA
"CQ","I1","0","0.462906945763132",NA
"CQ","I4","0","0.471992995287863",NA
"CQ","I5","0","0.473498574198843",NA
"CQ","I6","0","0.467485954874578",NA
"CR","I2_P","0","0.495770649975813",NA
"CR","I3_P","0","0.486113054319451",NA
"CR","I2_A","0","0.481485028299196",NA
"CR","I3_A","0","0.481485028299196",NA
"CR","I1","-0.0129032258064516","0.213210301859674",NA
"CR","I4","0","0.471992995287863",NA
"CR","I5","0","0.473498574198843",NA
"CR","I6","0","0.467485954874578",NA
"CS","I2_P","0","0.495770649975813",NA
"CS","I3_P","0","0.486113054319451",NA
"CS","I2_A","0","0.481485028299196",NA
"CS","I3_A","0.0155038759689922","0.128329687294627",NA
"CS","I1","0","0.462906945763132",NA
"CS","I4","0","0.471992995287863",NA
"CS","I5","0","0.473498574198843",NA
"CS","I6","0","0.467485954874578",NA
"CT","I2_P","0","0.495770649975813",NA
"CT","I3_P","0","0.486113054319451",NA
"CT","I2_A","0","0.481485028299196",NA
"CT","I3_A","-0.00564971751412429","0.481485028299196",NA
"CT","I1","0","0.462906945763132",NA
"CT","I4","0","0.471992995287863",NA
"CT","I5","0","0.473498574198843",NA
"CT","I6","0","0.467485954874578",NA
"CV","I2_P","0","0.495770649975813",NA
"CV","I3_P","0","0.486113054319451",NA
"CV","I2_A","0","0.481485028299196",NA
"CV","I3_A","0","0.481485028299196",NA
"CV","I1","0","0.462906945763132",NA
"CV","I4","0","0.471992995287863",NA
"CV","I5","0","0.473498574198843",NA
"CV","I6","0","0.467485954874578",NA
"CW","I2_P","0","0.495770649975813",NA
"CW","I3_P","0","0.486113054319451",NA
"CW","I2_A","0","0.481485028299196",NA
"CW","I3_A","0","0.481485028299196",NA
"CW","I1","0","0.462906945763132",NA
"CW","I4","0","0.471992995287863",NA
"CW","I5","0","0.473498574198843",NA
"CW","I6","0","0.467485954874578",NA
"CY","I2_P","0","0.495770649975813",NA
"CY","I3_P","0","0.486113054319451",NA
"CY","I2_A","0","0.481485028299196",NA
"CY","I3_A","0","0.481485028299196",NA
"CY","I1","0","0.462906945763132",NA
"CY","I4","0","0.471992995287863",NA
"CY","I5","0","0.473498574198843",NA
"CY","I6","0","0.467485954874578",NA
"DA","I2_P","0","0.495770649975813",NA
"DA","I3_P","0","0.486113054319451",NA
"DA","I2_A","0","0.481485028299196",NA
"DA","I3_A","0","0.481485028299196",NA
"DA","I1","0","0.462906945763132",NA
"DA","I4","0","0.471992995287863",NA
"DA","I5","0","0.473498574198843",NA
"DA","I6","-0.0127388535031847","0.217477056133683",NA
"DC","I2_P","0","0.495770649975813",NA
"DC","I3_P","0","0.486113054319451",NA
"DC","I2_A","0.00775193798449612","0.352906640060192",NA
"DC","I3_A","0","0.481485028299196",NA
"DC","I1","0","0.462906945763132",NA
"DC","I4","0","0.471992995287863",NA
"DC","I5","0","0.473498574198843",NA
"DC","I6","0.00840336134453781","0.356607875833799",NA
"DD","I2_P","0","0.495770649975813",NA
"DD","I3_P","0","0.486113054319451",NA
"DD","I2_A","0","0.481485028299196",NA
"DD","I3_A","0","0.481485028299196",NA
"DD","I1","0.0168067226890756","0.137041223908032",NA
"DD","I4","0.00211405316843719","0.355488395185172",NA
"DD","I5","0","0.473498574198843",NA
"DD","I6","0","0.467485954874578",NA
"DE","I2_P","0","0.495770649975813",NA
"DE","I3_P","0","0.486113054319451",NA
"DE","I2_A","0","0.481485028299196",NA
"DE","I3_A","0","0.481485028299196",NA
"DE","I1","0","0.462906945763132",NA
"DE","I4","0.00422810633687437","0.252615795255405",NA
"DE","I5","0","0.473498574198843",NA
"DE","I6","0.00840336134453781","0.356607875833799",NA
"DF","I2_P","0","0.495770649975813",NA
"DF","I3_P","0","0.486113054319451",NA
"DF","I2_A","0","0.481485028299196",NA
"DF","I3_A","0","0.481485028299196",NA
"DF","I1","0","0.462906945763132",NA
"DF","I4","-0.0125786163522013","0.221717943927167",NA
"DF","I5","0","0.473498574198843",NA
"DF","I6","0","0.467485954874578",NA
"DG","I2_P","0","0.495770649975813",NA
"DG","I3_P","0","0.486113054319451",NA
"DG","I2_A","0","0.481485028299196",NA
"DG","I3_A","0","0.481485028299196",NA
"DG","I1","0.0168067226890756","0.137041223908032",NA
"DG","I4","0","0.471992995287863",NA
"DG","I5","0","0.473498574198843",NA
"DG","I6","0","0.467485954874578",NA
"DH","I2_P","0.0186915887850467","0.121689549688926",NA
"DH","I3_P","0","0.486113054319451",NA
"DH","I2_A","0","0.481485028299196",NA
"DH","I3_A","0","0.481485028299196",NA
"DH","I1","0","0.462906945763132",NA
"DH","I4","0","0.471992995287863",NA
"DH","I5","0","0.473498574198843",NA
"DH","I6","-0.00636942675159236","0.467485954874578",NA
"DI","I2_P","0","0.495770649975813",NA
"DI","I3_P","0","0.486113054319451",NA
"DI","I2_A","0.00775193798449612","0.352906640060192",NA
"DI","I3_A","0","0.481485028299196",NA
"DI","I1","0","0.462906945763132",NA
"DI","I4","0.0168067226890756","0.132745666556487",NA
"DI","I5","0.0256410256410256","0.0324440693818462","DI"
"DI","I6","0","0.467485954874578",NA
"DK","I2_P","0","0.495770649975813",NA
"DK","I3_P","0","0.486113054319451",NA
"DK","I2_A","0","0.481485028299196",NA
"DK","I3_A","0","0.481485028299196",NA
"DK","I1","0.0168067226890756","0.137041223908032",NA
"DK","I4","0","0.471992995287863",NA
"DK","I5","0","0.473498574198843",NA
"DK","I6","0","0.467485954874578",NA
"DL","I2_P","0","0.495770649975813",NA
"DL","I3_P","0","0.486113054319451",NA
